User,EffortHealth.13
0,NA
1,NA
2,NA
3,80
4,90
5,NA
6,70
7,NA
8,69
9,80
10,95
11,NA
12,NA
13,99
14,NA
15,70
16,63
17,100
18,NA
19,20
20,77
21,45
22,70
23,NA
24,81
25,NA
26,NA
27,66
28,NA
29,NA
30,NA
31,20
32,NA
33,47
34,NA
35,72
36,NA
37,95
38,NA
39,65
40,100
41,31
42,NA
43,NA
44,85
45,90
46,70
47,75
48,NA
49,95
50,65
51,NA
52,51
53,58
54,80
55,79
56,80
57,100
58,NA
59,17
60,75
61,NA
62,NA
63,62
64,NA
65,93
66,61
67,72
68,10
69,98
70,70
71,NA
72,78
73,24
74,70
75,NA
76,92
77,NA
78,NA
79,85
80,84
81,NA
82,89
83,97
84,100
85,70
86,96
87,94
88,71
89,58
90,100
91,80
92,90
93,85
94,NA
95,66
96,71
97,NA
98,78
99,80
100,100
101,50
102,82
103,81
104,95
105,NA
106,97
107,NA
108,NA
109,NA
110,100
111,71
112,NA
113,85
114,90
115,NA
116,86
117,NA
118,NA
119,NA
120,100
121,NA
122,98
123,NA
124,NA
125,82
126,NA
127,81
128,NA
129,NA
130,3
131,90
132,49
133,65
134,NA
135,NA
136,NA
137,NA
138,NA
139,82
140,70
141,71
142,NA
143,NA
144,81
145,85
146,90
147,65
148,65
149,95
150,34
151,NA
152,30
153,43
154,NA
155,85
156,83
157,38
158,85
159,NA
160,15
161,NA
162,NA
163,90
164,80
165,NA
166,NA
167,80
168,50
169,50
170,NA
171,NA
172,100
173,NA
174,30
175,NA
176,NA
177,70
178,NA
179,50
180,86
181,91
182,NA
183,35
184,100
185,92
186,92
187,87
188,NA
189,70
190,NA
191,NA
192,75
193,40
194,70
195,NA
196,91
197,83
198,100
199,70
200,62
201,NA
202,70
203,NA
204,91
205,NA
206,NA
207,NA
208,30
209,NA
210,NA
211,NA
212,NA
213,70
214,NA
215,NA
216,91
217,NA
218,71
219,76
220,NA
221,88
222,72
223,72
224,80
225,90
226,50
227,NA
228,90
229,NA
230,NA
231,100
232,NA
233,NA
234,NA
235,NA
236,48
237,80
238,NA
239,93
240,77
241,100
242,64
243,74
244,82
245,93
246,91
247,95
248,78
249,NA
250,96
251,NA
252,NA
253,70
254,NA
255,91
256,79
257,85
258,40
259,100
260,91
261,NA
262,52
263,95
264,71
265,91
266,NA
267,30
268,90
269,100
271,NA
272,NA
273,NA
274,75
275,20
276,80
277,65
278,NA
279,100
280,91
281,85
282,82
283,51
284,NA
285,85
286,85
287,NA
288,75
289,65
290,NA
291,NA
292,NA
293,40
294,NA
295,NA
296,NA
297,NA
298,71
299,100
300,100
301,NA
302,62
303,NA
304,NA
305,30
306,100
307,NA
308,NA
309,NA
310,70
311,92
312,10
313,NA
314,80
315,29
316,100
317,NA
318,70
319,NA
320,76
321,70
322,97
323,NA
324,95
325,NA
326,61
327,75
328,93
329,75
330,NA
331,60
332,60
333,91
334,NA
335,65
336,NA
337,NA
338,NA
339,NA
340,NA
341,NA
342,80
343,69
344,0
345,76
346,88
347,66
348,NA
349,89
350,NA
351,NA
352,NA
353,NA
354,100
355,81
356,100
357,80
358,100
359,80
360,NA
361,51
362,91
363,80
364,25
365,32
366,NA
367,95
368,NA
369,69
370,95
371,80
372,NA
373,NA
374,70
375,NA
376,NA
377,NA
378,NA
379,90
380,NA
381,57
382,60
383,75
384,70
385,NA
386,29
387,66
388,70
389,NA
390,60
391,100
392,NA
393,60
394,NA
395,NA
396,NA
397,85
398,NA
399,NA
400,NA
401,1
402,40
403,30
404,81
405,50
406,51
407,75
408,NA
409,NA
410,NA
411,96
412,70
413,NA
414,40
415,NA
416,NA
417,NA
418,NA
419,80
420,85
421,NA
422,10
423,NA
424,100
425,36
426,NA
427,NA
428,100
429,NA
430,60
431,NA
432,NA
433,NA
434,NA
435,NA
436,NA
437,92
439,NA
440,50
441,NA
442,80
443,70
444,77
445,NA
446,75
447,91
448,81
449,NA
450,50
451,50
452,18
453,49
454,70
455,82
456,NA
457,NA
458,NA
459,75
460,95
461,NA
462,90
463,30
464,NA
465,65
466,NA
467,NA
468,91
469,NA
470,NA
471,NA
472,69
473,90
474,72
475,NA
476,90
477,NA
478,100
479,87
480,95
481,NA
482,NA
483,NA
484,NA
485,NA
486,50
487,NA
488,74
489,NA
490,NA
491,NA
492,90
493,NA
494,NA
495,83
